title,company,location,type,links,description,company_link,comp_logo_link
Senior Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/ecDQZn7zPGxQ-Senior-Data-Analyst-Z2-Data-Cairo-Egypt?o=11&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.', 'Establish rules and procedures for data sharing with upper management, external stakeholders etc.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards.', 'Assist with reports and data extraction when needed.', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).', 'Ensure digital databases and archives are protected from security breaches and data losses.', 'Troubleshoot data-related problems and authorize maintenance or modifications.', 'We are looking for an experienced Senior Data Analyst to oversee the development and use of data systems.', 'You will discover efficient ways to organize, store and analyze data with attention to security and confidentiality.', 'You should be able to fully grasp the complexity of data management.', 'The ideal candidate will have a strong understanding of databases and data analysis procedures.', 'You will also be tech-savvy and possess excellent troubleshooting skills.', 'The goal is to ensure that information flows timely and securely to and from the organization as well as within.']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Senior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/r23QlbZLj34c-Senior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=12&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Analyzing the extracted information from the financial statements.', 'Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams.', 'Assigning Targets and setting plans for the teams according to the business needs.', 'Prepare and deliver the necessary training needed for new comers.', 'Supporting the new comers and teams on daily basis to ensure the process is implemented.', 'Testing the data inserted in the system and reporting any issue occurred in the process.', 'Assisting the Financial Analysis Manager in daily technical tasks.', 'Reporting to the Finance Manager the operation progress on a weekly basis.']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Junior Financial Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/JeFJXhJWDb4O-Junior-Financial-Data-Analyst-Z2-Data-Cairo-Egypt?o=13&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Analyzing the extracted information from the financial statements.', 'Handling R&D and enhancing the operational techniques used to improve the data procedures in best possible way and facilitate the operational daily work of the teams.', 'Supporting the new comers and teams on daily basis to ensure the process is implemented.', 'Testing the data inserted in the system and reporting any issue occurred in the process.', 'Assisting the Financial Analysis Manager in daily technical tasks.', 'Reporting to the Finance Manager the operation progress on a weekly basis.']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Data Analyst - Banha,Z2 Data,"Banha, Qalubia, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/5JCxxhUwHrzn-Data-Analyst---Banha-Z2-Data-Qalubia-Egypt?o=14&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards.', 'Assist with reports and data extraction when needed.', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).', 'Ensure digital databases and archives are protected from security breaches and data losses.', 'Troubleshoot data-related problems and authorize maintenance or modifications.']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Data Entry Clerk,Parkville Pharmaceuticals,"Qalyub, Qalubia, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/XUci2nTpbcnI-Data-Entry-Clerk-Parkville-Pharmaceuticals-Qalubia-Egypt?o=15&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Insert customer/account or task data by inputting text-based and numerical information from source documents within time limits in addition to compiling/verifying the accuracy and sorting information according to priorities to prepare source data for computer entry.', 'Review data for deficiencies or errors, correct any incompatibilities if possible, and check the output besides research / obtain further information for incomplete documents in addition to applying data program techniques and procedures.', 'Generate reports, store completed work in designated locations, and perform backup operations regularly in order to secure the supply chain data.', 'Record / Maintain the required ISO documents and data besides keeping the information confidential in addition to scan documents and printing files when needed.', 'Respond to queries for information and access relevant files besides complying with data integrity and security policies while ensuring proper use of office equipment and addressing any malfunctions.', 'Testing new database systems and software updates to be easily used by other people for reference/reports, or making decisions.', 'Insert data of sales orders once received into the system in addition to following up with Finance for issuing the invoices in order to foster the inventory movement.']",https://wuzzuf.net/jobs/careers/Parkville-Pharmaceuticals-Egypt-9968,https://images.wuzzuf-data.net/files/company_logo/Parkville-Pharmaceuticals-Egypt-9968-1611482055.jpeg
Junior Data Analyst,Z2 Data,"Nasr City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/vRmBDfFqeBXN-Junior-Data-Analyst-Z2-Data-Cairo-Egypt?o=16&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Formulate techniques for quality data collection to ensure adequacy, accuracy and legitimacy of data.', 'Devise and implement efficient and secure procedures for data handling and analysis with attention to all technical aspects.', 'Support others in the daily use of data systems and ensure adherence to legal and company standards.', 'Assist with reports and data extraction when needed.', 'Monitor and analyze information and data systems and evaluate their performance to discover ways of enhancing them (new technologies, upgrades etc.).', 'Ensure digital databases and archives are protected from security breaches and data losses.', 'Troubleshoot data-related problems and authorize maintenance or modifications.']",https://wuzzuf.net/jobs/careers/Z2-Data-Egypt-10002,https://images.wuzzuf-data.net/files/company_logo/Z2-Data-Egypt-10002-1516293068.png
Data Analyst| MIS,GlobeMed Egypt,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/UZjhvK3rVYOC-Data-Analyst-MIS-GlobeMed-Egypt-Cairo-Egypt?o=19&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Understanding business requirements and plan solutions to address data needs', 'Develop, design, maintain, test, and publish Tableau dashboards and analytics, and schedule refresh', 'Collect, refine, and prepare data from various data sources for analytics and visualization', 'Manage and utilize the Tableau platform to extract meaningful insights from it', 'Manage Tableau-driven implementations, architecture, and administration', 'Partner with IT teams and business professionals to establish data-driven policies and strategies across the organization.', 'Drill-down data and prepare reports with utmost accuracy using various visualization and data modeling methods', 'Define access controls and implement security measures whenever required', 'Improve overall process in data management, collection, dashboard design, and entire product life-cycle', 'Solving any data or performance issues related to workbooks and data sources', 'Monitoring reports and dashboards and making necessary changes', 'Actively manage the performance and usability of Tableau to get the desired result']",https://wuzzuf.net/jobs/careers/GlobeMed-Egypt-Egypt-3854,https://images.wuzzuf-data.net/files/company_logo/GlobeMed-Egypt-Egypt-3854-1557303001.png
Data Scientist “Mathematics/Physics”,Dafa,"Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=20&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['We are looking for someone with 7-10 years of experience mining/manipulating data sets and building statistical models, has a Master’s or PHD in Physics/Statistics, Mathematics, Computer Science or another quantitative field.', 'Job Description', 'Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.', 'Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.', 'Assess the effectiveness and accuracy of new data sources and data gathering techniques.', 'Develop custom data models and algorithms to apply to data sets.', 'Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.', 'Develop company A/B testing framework and test model quality.', 'Coordinate with different functional teams to implement models and monitor outcomes.', 'Develop processes and tools to monitor and analyze model performance and data accuracy.']",https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749,https://images.wuzzuf-data.net/files/company_logo/Dafa-Egypt-76749-1662034171.png
Senior Data Insights Specialist,WUZZUF,"Cairo, Egypt","['Full Time', 'Work From Home']",https://wuzzuf.net/jobs/p/QewilVmKKm8a-Senior-Data-Insights-Specialist-WUZZUF-Cairo-Egypt?o=21&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['The purpose of the Data Insights role is to translate data into meaningful information that promotes business performance and enables data-driven decision-making.', 'The Data Insights Specialist is responsible to create data models and providing visibility and analysis over key business measurements and performance indicators within the customer organization.', ""This includes assessing and defining requirements, designing tailored analytical models based on business stakeholders' needs, and creating fully digitized dashboards that meet the acceptance criteria."", 'Providing data and business insights based on the trends, patterns, and anomalies observed represents the added value that the role can bring to the business.', 'Create data models and digitized dashboards using the Power BI tool & Tableau in order to enable business stakeholders to make data-driven and commercially viable decisions.', 'Work with business stakeholders to define metrics and performance indicators across (JS and Employers) that are relevant to the business needs and goals.', 'Support the business stakeholders to define clear requirements and acceptance criteria for the assigned projects/tasks to drive change in the existing business as usual activity.', 'Create insights from the existing data by analyzing trends, distributions, anomalies, etc., and highlight the findings to the relevant audience.', 'Analysis of data quality issues and error-handling', 'Support BI system operations and data extraction using SQL', 'Conduct post-assessment exercises for launched commercial activities and promotions', ""Own the monthly reporting for the Marketing department's KPIs"", 'Develop and own the pricing logic and meters for existing and new packages']",https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061,https://images.wuzzuf-data.net/files/company_logo/7663792566315d8070ef5b.png
Financial Planning & Analysis Section Head,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/E33wWPzOxSOJ-Financial-Planning-Analysis-Section-Head-Nahdet-Misr-Publishing-Group-Giza-Egypt?o=22&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Manage preparation of annual budget, forecast plans and monthly cash flow taking into account changes in tactical and strategic plans, operations, trends', 'Develop and execute monthly and quarterly reports and any ad-hoc reporting and analysis as needed.', 'Works closely with all Organization’s heads to make sure the required data is provided; decisions are assessed financially.', 'Works with all functions on ensuring clear visibility on results and proper control of OPEX, CAPEX spending of all departments and sales.', 'Provide decision support & feasibility studies for acquisitions & investments.', 'Ensures alignment with management goals and prepares presentations required for management reviews.', 'Responsible for all financial/managerial reporting in corporate systems and supports other functions reporting.', 'Ensures compliance with corporate policies and procedures from reporting aspect and ensures the proper documentation of all supporting documents.', 'Supports other functions in completing their reporting (Ex. Headcount, BI assumptions, etc.)', 'Monitor & evaluate materials’ consumption, labor efficiency and overheads in order to drive cost savings project, analyze budget versus actual variance and changes in P&L & cash flow.', 'Manage and develop senior financial analysts concerning report creation, quality, accuracy and timeliness.']",https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,https://images.wuzzuf-data.net/files/company_logo/Nahdet-Misr-Publishing-Group-Egypt-1272.png
Senior Marketing Executive,MQJC.TECHNOLOGY,"Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/pPkB6Rf7FD6I-Senior-Marketing-Executive-MQJC-TECHNOLOGY-Cairo-Egypt?o=23&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"[""Social media daily operation: Familiar with various social media channels, such as Meta(Facebook), Instagram, YouTube, Tik Tok, Twitter,etc. Responsible for the daily operation of Apps's social media official accounts;"", 'Event and content support: Develop and execute online or offline promotion plans with in-app activities. Plan corresponding social media and offline activities, and word-of-mouth topics independently. Edit & publish high-quality and timely content and copywriting, social media data analysis;', ""Fan relationship maintenance: Maintain the relationship between the brand and fans/users through online social media and offline activities, enhance the linkage between fans and the company, and enhance users' understanding and support for the company's values;"", ""Marketing communication and business relationship development: Based on the company's business development needs, actively develop resources like PR, media agency, KOL, BBS, bloggers, news media, offline partnership, cross-brand collaboration etc.""]",https://wuzzuf.net/jobs/careers/MQ--Technology-Egypt-78598,https://images.wuzzuf-data.net/files/company_logo/208473797162f4ad2550f0c.png
Senior Data Analyst,Alarabia Group,"10th of Ramadan City, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/TWguALrIS6vT-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt?o=24&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['To understand business requirements in the BI context and design data models to convert raw data to meaningful insights.', 'To create dashboards and visual interactive reports using Power BI.', 'To identify KPIs with clear objectives and monitor them consistently.', 'To analyze data and present it through reports that can help in decision-making.', 'To design, develop, and deploy Power BI scripts and perform efficient detailed analysis.', 'To perform DAX queries and functions in Power BI.', 'To create charts and document data with algorithms, parameters, models, and relations explanations.', 'To perform SQL querying for best results.', 'To use filters and graphs for a better understanding of the data.', 'To define and design new systems by analyzing current ETL processes.', 'To make technical changes to existing BI systems in order to enhance their working.', 'Develop and execute database queries and conduct analysis.', 'Maintain and support data analytics platforms.']",https://wuzzuf.net/jobs/careers/Alarabia-Group-Egypt-11230,https://images.wuzzuf-data.net/files/company_logo/Alarabia-Group-Egypt-11230-1512978595.jpg
Business System Analyst,The Food Lab,"Maadi, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/1dM41TI8bc8w-Business-System-Analyst-The-Food-Lab-Cairo-Egypt?o=25&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Responsible and accountable to maintain Operation business systems at a high-quality level of consistency and accuracy all the time.', 'Responsible to extract actionable insights from business systems and communicate the actions needed with cross-functional teams.', 'Assess and resolve data quality issues and provide technical support to different stakeholders.', 'Collaborate with cross-functional teams on identifying business/product opportunities.', 'Coordinate and assess the business platforms/applications updates impact on business users.', 'Constantly be on the lookout for new tools to improve the business and deliver better value.']",https://wuzzuf.net/jobs/careers/The-Food-Lab-Egypt-70093,https://images.wuzzuf-data.net/files/company_logo/The-Food-Lab-Egypt-70093-1635954995.png
Quality Assurance Specialist,Future Group,"Dokki, Giza, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/5rQhH03hw23k-Quality-Assurance-Specialist-Future-Group-Giza-Egypt?o=26&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Manage QMS process improvement.', 'Manage auditing process (internal, & external) and handle audit disputes.', 'Conduct new processes, and QMS refreshment sessions for current employees and newcomers training.', 'Tracking the corrective action implementation.', 'Develop Monitoring reports', 'Enhance the process flow.']",https://wuzzuf.net/jobs/careers/Future-Group-Egypt-640,https://images.wuzzuf-data.net/files/company_logo/Future-Group-Egypt-640-1522226322.png
E-Commerce & Marketing Data Analyst,Confidential,"New Cairo, Cairo, Egypt",['Full Time'],https://wuzzuf.net/jobs/p/jzNIjX873nvy-E-Commerce-Marketing-Data-Analyst-Cairo-Egypt?o=29&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Reviewing and collecting information from secondary sources.', 'Conducting research on various industries and product portfolios.', 'Collect and analyze data on consumer behavior, competitive landscape and local market.', 'Interpret and forecast market trends in various industries.', 'Conducting interviews with key stakeholders, including: Customers, suppliers, distributers, government associations etc.', 'Ability to articulate different business issues and concisely analyze and communicated key issued/insights both written and verbally.', 'Analyzing quantitative (MS-Excel) and qualitative information.', 'Hypothesis testing.']","Link not found, the company prefer to keep its name hidden!!","Logo not found, the company prefer to keep its name hidden!!"
Business Intelligence Team Leader,Future Group,"Dokki, Giza, Egypt","['Full Time', 'Work From Home']",https://wuzzuf.net/jobs/p/IqrtUasALbXR-Business-Intelligence-Team-Leader-Future-Group-Giza-Egypt?o=30&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"[""This role will vary frequently. We all wear multiple hats and it's likely your role"", 'Will span working across different business functions.', 'We’re seeking someone who is data-obsessed and can identify strategic initiatives that will create', 'Meaningful efficiencies across the business.', 'Utilizes BI Tools to design and develop analytical content including reports, dashboards, and ad-hoc analyses and data sets.', 'Interpret data and analyze results to provide ongoing reports and dashboards and Provide insights', 'Supports end-user adoption of BI tools through trainings and creation of documentation.', 'Understand the existing source system data models', 'Prepare technical specifications and documentation for our workflows supporting BI reports.', 'Perform end to end data validation to maintain accuracy of data sets', 'Lead discussions with business partners to identify functional requirements resulting in data acquisition for BI applications', 'Provide data analysis and support to business functions.', 'Work with cross-functional teams to set up, maintain and scale business tools and processes to manage & identify areas of improvement for existing processes', 'Own short and long-term forecasting, plus quarterly reporting of revenue for Backstagewith a continuous improvement mindset, identifies opportunities and recommends enhancements to develop and improve procedures and framework for Business Analysis', 'Proactively manage business analysis services risks and rescue high risk project with business requirement issues', 'Monitors and provides direction to BA’s team', 'Facilitates teams, collaborating with staff and stakeholders.', 'Promotes team effectiveness, and keeps team informed', 'Seeks feedback, shares with team, works to deliver service to internal and external customers', 'Lead, improves performance and monitors progress of BI team to achieve their objectives']",https://wuzzuf.net/jobs/careers/Future-Group-Egypt-640,https://images.wuzzuf-data.net/files/company_logo/Future-Group-Egypt-640-1522226322.png
Tele Research Associate (Remote Work),BNC Network,"Cairo, Egypt","['Full Time', 'Work From Home']",https://wuzzuf.net/jobs/p/U3bAZCwIvkdL-Tele-Research-Associate-Remote-Work-BNC-Network-Cairo-Egypt?o=31&l=sp&t=sj&a=Data analysis jobs|search-v3|navbl,"['Conducting market research to update assigned construction projects by calling companies and online research to meet the set targets.', 'Obtaining the required information through telephonic interviews and data entry of assigned construction projects.', 'Perform both, primary and secondary market research.', 'Identify areas of improvement to achieve data quality.', 'Evaluating the data and making recommendations/suggestions required to improve the quality of data received.', 'Participate in taking new initiatives in alignment with business requirements.', 'Building relationships within the industry to streamline project intelligence gathering and to identify projects in the earliest possible stages.', 'Gathering data from online and other sources.', ""Verification of data as assigned to ensure compliance with the company's data policy and standards."", 'Providing daily reports & presentations as required.', 'Organize and present data in a clear, concise manner.', 'Mentorship – you will collaborate with hardworking peers and receive both formal training as well as day-to-day mentoring from your manager.', 'A positive and encouraging work environment']",https://wuzzuf.net/jobs/careers/BNC-Network-United-Arab-Emirates-60419,https://images.wuzzuf-data.net/files/company_logo/BNC-Network-United-Arab-Emirates-60419-1610633029.png
